TimeStamp,Posture,RakatCount,
15:16:55,Long Standing,4,,
15:17:18,Bowing,4,,
15:17:26,Short Standing,4,,
15:17:29,1st Prostration,4,,
15:17:34,Short Sitting,4,,
15:17:37,2nd Prostration,4,,
15:17:43,Long Standing,4,,
15:18:01,Bowing,4,,
15:18:07,Short Standing,4,,
15:18:11,1st Prostration,4,,
15:18:16,Short Sitting,4,,
15:18:18,2nd Prostration,4,,
15:18:25,Long Sitting,4,,
15:18:45,Long Standing,4,,
15:19:00,Bowing,4,,
15:19:04,Short Standing,4,,
15:19:07,1st Prostration,4,,
15:19:15,Short Sitting,4,,
15:19:17,2nd Prostration,4,,
15:19:22,Long Standing,4,,
15:19:37,Bowing,4,,
15:19:43,Short Standing,4,,
15:19:47,1st Prostration,4,,
15:19:52,Short Sitting,4,,
15:19:55,2nd Prostration,4,,
15:20:00,Long Sitting,4,,
15:20:27,End Namaz,4,,
